id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365
1463129922053535871,703858815,Centro,Embajadores,40.41364405089416,-3.7033697078498378,Private room in rental unit,Private room,2,1.0,,1.0,65.05,1.0,68,4.85,239
1673821634901498143,431124003,Centro,Universidad,40.4246691,-3.7026913,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,116.0,1.0,0,,353
17182264,5542111,Centro,Sol,40.416847,-3.703836,Entire rental unit,Entire home/apt,8,,2.0,4.0,273.0,1.0,343,4.59,297
1710314900042011097,446760611,Retiro,Pacífico,40.4017695,-3.6754642,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,100.0,1.0,0,,364
1599384926735572258,47607603,Villaverde,San Andrés,40.34644,-3.71184,Entire rental unit,Entire home/apt,2,1.0,,1.0,103.85,3.0,13,4.77,57
54354290,211991262,Centro,Sol,40.417469,-3.708444,Private room in hostel,Private room,2,,,1.0,119.0,1.0,16,4.81,350
1510792869881513714,719103714,Centro,Sol,40.41963,-3.70029,Room in hotel,Private room,2,,,,117.27,1.0,14,4.86,284
1086096878664501012,346367515,Retiro,Ibiza,40.42047676732589,-3.6725256035308176,Entire rental unit,Entire home/apt,8,,4.0,,150.48,31.0,3,4.33,361
1648399151395379334,750433813,Salamanca,Recoletos,40.42277205665439,-3.690552226456542,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,396.0,1.0,7,4.71,297
1542083092059647802,726323161,Centro,Universidad,40.42488,-3.70733,Room in hotel,Private room,2,,,,259.09,1.0,0,,150
891086500444251032,35865927,Chamberí,Rios Rosas,40.44371277301852,-3.6994676631160446,Private room in rental unit,Private room,2,1.0,,1.0,198.0,1.0,56,4.98,362
1013021219583397135,543337596,Carabanchel,Opañel,40.39483,-3.72093,Private room in rental unit,Private room,2,0.5,,1.0,58.2,1.0,8,5.0,77
817176833878428885,499006374,Centro,Palacio,40.41206,-3.70979,Entire rental unit,Entire home/apt,4,2.0,2.0,3.0,157.0,3.0,85,4.35,306
1613233174271692976,653564153,Latina,Lucero,40.4036,-3.74682,Entire rental unit,Entire home/apt,4,,1.0,,99.0,2.0,19,4.42,256
1169415266216532273,577926674,Salamanca,Goya,40.42579348154709,-3.673343868350389,Entire rental unit,Entire home/apt,4,,2.0,,100.0,12.0,1,3.0,28
17432436,111323231,Arganzuela,Palos de Moguer,40.40263,-3.69105,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,161.67,2.0,239,4.82,127
3588117,12381498,Centro,Embajadores,40.40738,-3.69719,Private room in rental unit,Private room,2,,,1.0,44.0,1.0,556,4.44,76
35663856,2366392,Moratalaz,Fontarrón,40.40344,-3.64482,Private room in rental unit,Private room,2,2.0,,1.0,68.5,2.0,51,4.8,352
831645029669756341,452288513,Centro,Universidad,40.42623149083109,-3.70720360408295,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,253.67,2.0,55,4.71,349
968055984328271046,534332489,San Blas - Canillejas,Hellín,40.43114,-3.61848,Private room in rental unit,Private room,2,1.0,,1.0,47.67,3.0,97,4.75,241
1299100367005548976,521545745,Tetuán,Bellas Vistas,40.44826716632016,-3.7038509486964686,Entire rental unit,Entire home/apt,2,1.0,,1.0,73.81,32.0,0,,364
1643555823757916989,77736183,Centro,Embajadores,40.41095,-3.70688,Private room in rental unit,Private room,1,1.0,1.0,1.0,42.0,1.0,10,4.2,75
1633469132117912569,268989700,Carabanchel,Comillas,40.3916378,-3.7110929,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,121.5,2.0,2,4.0,357
858320593141148454,368117770,Centro,Universidad,40.42434,-3.70157,Entire condo,Entire home/apt,4,1.0,1.0,2.0,200.0,1.0,91,4.85,316
919302356469221059,120185039,Ciudad Lineal,Ventas,40.4251922,-3.6551892,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,80.0,2.0,135,4.77,200
20030190,10024931,Centro,Palacio,40.4192,-3.70971,Entire rental unit,Entire home/apt,4,,2.0,,289.33,3.0,97,4.72,9
49726154,390624636,Centro,Universidad,40.42105,-3.70135,Entire rental unit,Entire home/apt,2,1.0,,1.0,221.0,1.0,271,4.8,132
11056834,57286373,Centro,Justicia,40.424503326416016,-3.699172973632813,Entire loft,Entire home/apt,4,1.5,1.0,3.0,148.0,1.0,322,4.53,349
886193288223349085,236831755,Vicálvaro,Casco Histórico de Vicálvaro,40.40183290596523,-3.602183473966887,Private room in rental unit,Private room,1,1.0,,1.0,56.29,7.0,5,5.0,354
1705036482077569298,378837583,Carabanchel,Opañel,40.3903,-3.71585,Entire rental unit,Entire home/apt,2,1.0,,1.0,102.0,1.0,1,5.0,351
1315435870529041315,7280945,Centro,Embajadores,40.4070548,-3.6986377,Entire rental unit,Entire home/apt,2,1.0,,1.0,90.0,6.0,8,4.5,44
1084680503663678790,40877988,Centro,Embajadores,40.40773196197811,-3.703595912250084,Entire rental unit,Entire home/apt,2,1.0,1.0,,81.38,2.0,117,4.44,331
49609590,399319608,Centro,Sol,40.41901,-3.70135,Private room in bed and breakfast,Private room,3,1.0,1.0,3.0,210.0,1.0,13,4.69,282
957882594967203893,50887257,Centro,Sol,40.41842,-3.70649,Private room in rental unit,Private room,1,1.0,1.0,1.0,60.3,31.0,3,4.33,121
654924411705637361,377605855,Tetuán,Bellas Vistas,40.44807,-3.7059,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,223.0,1.0,136,4.55,345
836000781199934971,492262145,Tetuán,Bellas Vistas,40.44957549837555,-3.707891341747944,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,221.33,3.0,86,4.74,103
33707943,247569839,Centro,Universidad,40.42104,-3.70636,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,304.33,2.0,45,4.91,65
862842416332380210,499324651,Centro,Palacio,40.40869,-3.71445,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,156.0,1.0,22,4.82,345
52819221,251941750,Retiro,Ibiza,40.4189,-3.67338,Private room in rental unit,Private room,1,,,,46.03,32.0,43,4.91,297
1043861354509076802,550448651,Tetuán,Bellas Vistas,40.44926,-3.70441,Entire rental unit,Entire home/apt,4,1.0,1.0,,118.86,2.0,84,4.64,333
53716590,156308723,Centro,Sol,40.41897,-3.70691,Entire loft,Entire home/apt,3,1.0,1.0,2.0,159.0,1.0,0,,39
1120123129968790952,1714541,Retiro,Pacífico,40.40491135263349,-3.675381648151306,Private room in rental unit,Private room,2,1.5,,1.0,74.18,1.0,52,4.83,256
1441997046144296091,45621438,Chamberí,Vallehermoso,40.44677,-3.70502,Entire rental unit,Entire home/apt,2,1.0,,2.0,113.5,2.0,11,5.0,344
955175688750761004,531118903,Centro,Justicia,40.4237122,-3.6951962,Entire rental unit,Entire home/apt,3,2.0,2.0,2.0,368.0,1.0,53,4.74,321
1480361342014909566,711500000,Chamberí,Arapiles,40.432181367393554,-3.711116998653225,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,117.75,4.0,15,4.2,351
20473789,146165870,Hortaleza,Valdefuentes,40.49865,-3.65305,Entire condo,Entire home/apt,6,2.0,3.0,4.0,71.93,28.0,153,4.82,90
49511751,377605855,Chamberí,Trafalgar,40.43644,-3.70147,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,221.0,1.0,90,4.62,316
918024900887690804,518713670,Centro,Universidad,40.4239256802977,-3.703250897939608,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,77.23,30.0,2,3.0,137
